日期,城市,区局,网管名称,基站中文名称,小区名称,下行PRB平均利用率_分子,下行PRB平均利用率_分母,上行PRB平均利用率_分子,上行PRB平均利用率_分母,上行业务信息PRB占用率,上行控制信息PRB占用率,下行业务信息PRB占用率,下行控制信息PRB占用率,空口上行业务字节数,空口下行业务字节数
2019/7/16,北京,三区,北京爱立信5,六里桥北里,FBJ002198A1,3202635085,8640000000,589937113,8640000000,0.0604,0.0079,0.3454,0.0253,7776965.25,116056245.6
2019/7/15,北京,三区,北京爱立信5,六里桥北里,FBJ002198A1,3187764830,8640000000,547022850,8640000000,0.0561,0.0072,0.345,0.0239,8283116.125,122573141.6
2019/7/14,北京,三区,北京爱立信5,六里桥北里,FBJ002198A1,3118607404,8640000000,599773124,8640000000,0.0617,0.0077,0.3371,0.0239,8035807,117480778.8
2019/7/13,北京,三区,北京爱立信5,六里桥北里,FBJ002198A1,2876638756,8550000000,517957743,8550000000,0.0528,0.0078,0.3123,0.0241,7061844.625,115752024.8
2019/7/12,北京,三区,北京爱立信5,六里桥北里,FBJ002198A1,1411442641,8640000000,206632528,8640000000,0.0207,0.0032,0.1436,0.0197,2412498.25,29510966.38
2019/7/11,北京,三区,北京爱立信5,六里桥北里,FBJ002198A1,1784420929,8640000000,293327390,8640000000,0.0298,0.0042,0.1862,0.0203,3357242.375,45690010
2019/7/10,北京,三区,北京爱立信5,六里桥北里,FBJ002198A1,1742587634,8280000000,326983510,8280000000,0.035,0.0045,0.19,0.0205,4076459,47440983.5
2019/7/9,北京,三区,北京爱立信4,六里桥北里,FBJ002198A1,655514487.6,4770000000,166300955,4770000000,0.0215,0.0134,0.1198,0.0176,1129412.75,14384901.88
2019/7/8,北京,三区,北京爱立信4,六里桥北里,FBJ002198A1,1966693240,8640000000,456814278,8640000000,0.0343,0.0185,0.2079,0.0197,3406021.625,47084294
2019/7/7,北京,三区,北京爱立信4,六里桥北里,FBJ002198A1,2053888580,8640000000,406727720,8640000000,0.03,0.017,0.2184,0.0193,2896081,40474392.5
2019/7/6,北京,三区,北京爱立信4,六里桥北里,FBJ002198A1,2131026560,8640000000,449794944,8640000000,0.0358,0.0162,0.227,0.0196,3103537.875,40896539.63
2019/7/5,北京,三区,北京爱立信4,六里桥北里,FBJ002198A1,2142603345,8640000000,514195453,8640000000,0.0404,0.0191,0.2284,0.0196,4363501.625,56342132.38
2019/7/4,北京,三区,北京爱立信4,六里桥北里,FBJ002198A1,1823945648,8610000000,450836656,8610000000,0.033,0.0194,0.1924,0.0194,3517094.625,38273812
2019/7/3,北京,三区,北京爱立信4,六里桥北里,FBJ002198A1,2338727950,8640000000,338632608,8640000000,0.0334,0.0058,0.2514,0.0193,3712907.5,64641624.88
2019/7/2,北京,三区,北京爱立信4,六里桥北里,FBJ002198A1,2085415096,8640000000,314506348,8640000000,0.0309,0.0055,0.2222,0.0192,3648044.125,48971913.88
2019/7/1,北京,三区,北京爱立信4,六里桥北里,FBJ002198A1,1814506123,8640000000,256603576,8640000000,0.0249,0.0048,0.1913,0.0188,3198512.125,37353690.88
2019/6/30,北京,三区,北京爱立信4,六里桥北里,FBJ002198A1,2143802840,8640000000,271054702,8640000000,0.0268,0.0045,0.2301,0.018,3321220.875,49873604.25
2019/6/29,北京,三区,北京爱立信4,六里桥北里,FBJ002198A1,2225469765,8640000000,294637441,8640000000,0.0288,0.0053,0.2389,0.0187,3561723.125,53668425
2019/6/28,北京,三区,北京爱立信4,六里桥北里,FBJ002198A1,1915677599,8640000000,339470488,8640000000,0.0337,0.0056,0.2017,0.0201,4576330.125,43920158.63
2019/6/27,北京,三区,北京爱立信4,六里桥北里,FBJ002198A1,2396018394,8640000000,339651673,8640000000,0.033,0.0064,0.257,0.0203,3515817.75,52798241.25
2019/6/26,北京,三区,北京爱立信4,六里桥北里,FBJ002198A1,2461243847,8625300000,374569049,8625300000,0.0368,0.0066,0.2648,0.0206,3960683.25,56076217
2019/6/25,北京,三区,北京爱立信4,六里桥北里,FBJ002198A1,2520151523,8640000000,370051305,8640000000,0.0362,0.0067,0.2709,0.0208,4228155.75,58450722.13
2019/6/24,北京,三区,北京爱立信4,六里桥北里,FBJ002198A1,2252028084,8640000000,354027190,8640000000,0.0346,0.0064,0.2401,0.0205,3625914.75,49285239.25
2019/6/23,北京,三区,北京爱立信4,六里桥北里,FBJ002198A1,2400570877,8640000000,368434555,8640000000,0.0363,0.0063,0.2583,0.0195,4055959.125,50859944.25
2019/6/22,北京,三区,北京爱立信4,六里桥北里,FBJ002198A1,2975429999,8640000000,685696289,8640000000,0.0719,0.0074,0.3243,0.02,16034540.88,81342866.38
